id_abandon,annee_scolaire,region,code_region,province,milieu,cycle,niveau_classe,genre,age_abandon,motif_principal,distance_etablissement,revenu_menage_mensuel,nb_enfants_menage,parent_analphabete,retour_ecole
AB402071,2015-2016,Rabat-Salé-Kénitra,RAB,Kénitra,Rural,Primaire,Année 4,Masculin,7,Éloignement de l'établissement,5–15 km,2000-4000 MAD,6,0,0
AB402072,2021-2022,Tanger-Tétouan-Al Hoceïma,TAN,Fahs-Anjra,Rural,Qualifiant,Année 2,Masculin,17,Mariage précoce,< 1 km,< 2000 MAD,1,0,0
AB402073,2018-2019,Rabat-Salé-Kénitra,RAB,Rabat,Urbain,Collégial,Année 3,Masculin,13,Difficultés scolaires,< 1 km,4000-7000 MAD,1,1,1
AB402074,2015-2016,Casablanca-Settat,CAS,Casablanca,Rural,Primaire,Année 3,Masculin,9,Travail enfant,1–5 km,2000-4000 MAD,4,0,0
AB402075,2023-2024,Oriental,ORI,Taourirt,Urbain,Qualifiant,Année 1,Masculin,17,Mariage précoce,< 1 km,2000-4000 MAD,4,1,0
AB402076,2017-2018,Casablanca-Settat,CAS,Settat,Rural,Primaire,Année 2,Féminin,12,Autre,1–5 km,< 2000 MAD,6,0,0
AB402077,2018-2019,Dakhla-Oued Eddahab,DAK,Aousserd,Urbain,Collégial,Année 3,Féminin,14,Manque d'infrastructures,5–15 km,2000-4000 MAD,8,1,1
AB402078,2018-2019,Rabat-Salé-Kénitra,RAB,Khémisset,Rural,Primaire,Année 6,Féminin,7,Travail enfant,1–5 km,2000-4000 MAD,7,0,1
AB402079,2017-2018,Rabat-Salé-Kénitra,RAB,Khémisset,Urbain,Collégial,Année 1,Masculin,14,Grossesse,< 1 km,2000-4000 MAD,2,0,0
AB402080,2020-2021,Tanger-Tétouan-Al Hoceïma,TAN,Tanger-Assilah,Rural,Primaire,Année 3,Masculin,9,Difficultés scolaires,< 1 km,2000-4000 MAD,5,1,0
AB402081,2023-2024,Tanger-Tétouan-Al Hoceïma,TAN,Tanger-Assilah,Urbain,Collégial,Année 3,Féminin,13,Autre,< 1 km,4000-7000 MAD,5,1,0
AB402082,2018-2019,Fès-Meknès,FES,Taounate,Urbain,Primaire,Année 2,Masculin,9,Travail enfant,5–15 km,2000-4000 MAD,5,1,0
AB402083,2021-2022,Fès-Meknès,FES,Séfrou,Rural,Primaire,Année 4,Masculin,12,Manque d'infrastructures,> 15 km,< 2000 MAD,3,1,0
AB402084,2017-2018,Fès-Meknès,FES,Ifrane,Rural,Collégial,Année 2,Masculin,13,Grossesse,1–5 km,> 7000 MAD,7,1,0
AB402085,2016-2017,Rabat-Salé-Kénitra,RAB,Sidi Slimane,Rural,Qualifiant,Année 3,Masculin,17,Grossesse,5–15 km,2000-4000 MAD,1,1,1
AB402086,2021-2022,Oriental,ORI,Taourirt,Rural,Collégial,Année 1,Féminin,14,Manque d'infrastructures,< 1 km,> 7000 MAD,8,0,1
AB402087,2016-2017,Marrakech-Safi,MAR,El Kelaa des Sraghna,Rural,Collégial,Année 1,Féminin,13,Difficultés économiques,> 15 km,< 2000 MAD,6,1,0
AB402088,2015-2016,Fès-Meknès,FES,Fès,Rural,Qualifiant,Année 2,Féminin,18,Mariage précoce,> 15 km,2000-4000 MAD,1,1,1
AB402089,2019-2020,Marrakech-Safi,MAR,Safi,Urbain,Qualifiant,Année 1,Masculin,16,Handicap,< 1 km,< 2000 MAD,8,0,0
AB402090,2017-2018,Fès-Meknès,FES,Moulay Yacoub,Urbain,Collégial,Année 1,Masculin,14,Manque d'infrastructures,5–15 km,2000-4000 MAD,1,0,1
AB402091,2021-2022,Souss-Massa,SOU,Agadir-Ida-Ou-Tanane,Rural,Primaire,Année 3,Féminin,12,Mariage précoce,5–15 km,> 7000 MAD,2,0,0
AB402092,2023-2024,Rabat-Salé-Kénitra,RAB,Kénitra,Rural,Qualifiant,Année 2,Masculin,18,Mariage précoce,1–5 km,< 2000 MAD,2,0,0
AB402093,2015-2016,Fès-Meknès,FES,Boulemane,Rural,Primaire,Année 1,Masculin,9,Éloignement de l'établissement,1–5 km,2000-4000 MAD,7,0,1
AB402094,2020-2021,Guelmim-Oued Noun,GUE,Assa-Zag,Rural,Primaire,Année 4,Féminin,9,Difficultés économiques,< 1 km,> 7000 MAD,1,1,0
AB402095,2019-2020,Tanger-Tétouan-Al Hoceïma,TAN,Fahs-Anjra,Rural,Primaire,Année 2,Masculin,8,Manque d'infrastructures,1–5 km,2000-4000 MAD,2,0,1
AB402096,2021-2022,Marrakech-Safi,MAR,Youssoufia,Urbain,Qualifiant,Année 1,Masculin,16,Mariage précoce,> 15 km,> 7000 MAD,2,1,0
AB402097,2020-2021,Fès-Meknès,FES,Boulemane,Urbain,Qualifiant,Année 2,Masculin,16,Difficultés économiques,1–5 km,2000-4000 MAD,1,1,0
AB402098,2021-2022,Fès-Meknès,FES,Meknès,Urbain,Primaire,Année 6,Masculin,7,Travail enfant,1–5 km,> 7000 MAD,8,1,1
AB402099,2015-2016,Béni Mellal-Khénifra,BMK,El Kelaa des Sraghna,Rural,Qualifiant,Année 1,Féminin,16,Manque d'infrastructures,< 1 km,2000-4000 MAD,2,1,0
AB402100,2017-2018,Oriental,ORI,Taourirt,Rural,Qualifiant,Année 1,Féminin,17,Travail enfant,< 1 km,2000-4000 MAD,3,1,0
AB402101,2019-2020,Souss-Massa,SOU,Tiznit,Rural,Collégial,Année 3,Féminin,15,Difficultés économiques,< 1 km,4000-7000 MAD,2,0,1
AB402102,2019-2020,Casablanca-Settat,CAS,Berrechid,Rural,Collégial,Année 2,Masculin,13,Difficultés scolaires,< 1 km,2000-4000 MAD,4,0,0
AB402103,2023-2024,Rabat-Salé-Kénitra,RAB,Kénitra,Rural,Qualifiant,Année 3,Féminin,16,Manque d'infrastructures,> 15 km,> 7000 MAD,7,0,0
AB402104,2015-2016,Casablanca-Settat,CAS,Benslimane,Rural,Collégial,Année 3,Masculin,14,Éloignement de l'établissement,1–5 km,> 7000 MAD,8,1,1
AB402105,2022-2023,Béni Mellal-Khénifra,BMK,Béni Mellal,Rural,Qualifiant,Année 1,Masculin,17,Difficultés économiques,5–15 km,2000-4000 MAD,7,1,0
AB402106,2017-2018,Fès-Meknès,FES,Ifrane,Urbain,Primaire,Année 4,Féminin,8,Travail enfant,1–5 km,> 7000 MAD,1,1,0
AB402107,2020-2021,Fès-Meknès,FES,El Hajeb,Rural,Primaire,Année 4,Féminin,9,Travail enfant,1–5 km,2000-4000 MAD,5,0,1
AB402108,2015-2016,Rabat-Salé-Kénitra,RAB,Sidi Slimane,Urbain,Collégial,Année 3,Féminin,15,Grossesse,5–15 km,2000-4000 MAD,1,0,1
AB402109,2017-2018,Marrakech-Safi,MAR,Chichaoua,Rural,Qualifiant,Année 2,Masculin,16,Autre,1–5 km,< 2000 MAD,2,0,0
AB402110,2022-2023,Souss-Massa,SOU,Tiznit,Rural,Collégial,Année 1,Masculin,14,Difficultés scolaires,1–5 km,2000-4000 MAD,1,0,0
AB402111,2017-2018,Marrakech-Safi,MAR,Essaouira,Urbain,Primaire,Année 5,Féminin,11,Travail enfant,< 1 km,4000-7000 MAD,6,1,0
AB402112,2019-2020,Fès-Meknès,FES,Fès,Rural,Qualifiant,Année 3,Masculin,17,Mariage précoce,< 1 km,2000-4000 MAD,6,1,1
AB402113,2018-2019,Marrakech-Safi,MAR,El Kelaa des Sraghna,Rural,Collégial,Année 1,Féminin,15,Éloignement de l'établissement,< 1 km,< 2000 MAD,5,1,1
AB402114,2017-2018,Casablanca-Settat,CAS,Sidi Bennour,Rural,Collégial,Année 3,Féminin,13,Handicap,5–15 km,< 2000 MAD,1,1,0
AB402115,2020-2021,Souss-Massa,SOU,Inezgane-Ait Melloul,Urbain,Qualifiant,Année 1,Masculin,17,Mariage précoce,1–5 km,2000-4000 MAD,4,0,1
AB402116,2016-2017,Tanger-Tétouan-Al Hoceïma,TAN,Ouazzane,Urbain,Collégial,Année 3,Féminin,14,Travail enfant,< 1 km,> 7000 MAD,7,0,0
AB402117,2017-2018,Tanger-Tétouan-Al Hoceïma,TAN,Tétouan,Urbain,Primaire,Année 5,Féminin,12,Travail enfant,1–5 km,4000-7000 MAD,3,1,0
AB402118,2015-2016,Casablanca-Settat,CAS,Khouribga,Rural,Qualifiant,Année 2,Masculin,18,Éloignement de l'établissement,1–5 km,2000-4000 MAD,4,0,1
AB402119,2016-2017,Rabat-Salé-Kénitra,RAB,Khémisset,Urbain,Qualifiant,Année 1,Masculin,17,Difficultés économiques,> 15 km,2000-4000 MAD,8,1,0
AB402120,2018-2019,Drâa-Tafilalet,DRA,Errachidia,Rural,Collégial,Année 1,Féminin,13,Difficultés scolaires,< 1 km,2000-4000 MAD,3,0,0
AB402121,2022-2023,Casablanca-Settat,CAS,Sidi Bennour,Urbain,Primaire,Année 6,Masculin,7,Travail enfant,1–5 km,4000-7000 MAD,2,1,0
AB402122,2018-2019,Fès-Meknès,FES,Taza,Urbain,Collégial,Année 3,Masculin,15,Manque d'infrastructures,< 1 km,4000-7000 MAD,6,1,1
AB402123,2017-2018,Casablanca-Settat,CAS,Benslimane,Rural,Primaire,Année 4,Féminin,7,Travail enfant,5–15 km,2000-4000 MAD,1,0,0
AB402124,2021-2022,Rabat-Salé-Kénitra,RAB,Sidi Kacem,Urbain,Collégial,Année 3,Masculin,14,Manque d'infrastructures,1–5 km,2000-4000 MAD,6,0,0
AB402125,2019-2020,Fès-Meknès,FES,Fès,Urbain,Collégial,Année 2,Féminin,13,Manque d'infrastructures,1–5 km,2000-4000 MAD,1,1,0
AB402126,2016-2017,Fès-Meknès,FES,Taza,Urbain,Collégial,Année 2,Féminin,13,Mariage précoce,< 1 km,2000-4000 MAD,5,1,0
AB402127,2020-2021,Fès-Meknès,FES,Séfrou,Urbain,Primaire,Année 3,Féminin,10,Difficultés économiques,< 1 km,< 2000 MAD,3,1,1
AB402128,2018-2019,Tanger-Tétouan-Al Hoceïma,TAN,Chefchaouen,Urbain,Qualifiant,Année 2,Féminin,18,Grossesse,1–5 km,2000-4000 MAD,5,0,0
AB402129,2023-2024,Rabat-Salé-Kénitra,RAB,Khémisset,Rural,Collégial,Année 3,Féminin,15,Travail enfant,< 1 km,4000-7000 MAD,1,1,0
AB402130,2018-2019,Rabat-Salé-Kénitra,RAB,Sidi Slimane,Rural,Collégial,Année 3,Masculin,14,Grossesse,< 1 km,< 2000 MAD,2,1,1
AB402131,2022-2023,Casablanca-Settat,CAS,Khouribga,Rural,Collégial,Année 3,Féminin,14,Difficultés économiques,1–5 km,4000-7000 MAD,5,0,0
AB402132,2015-2016,Casablanca-Settat,CAS,Berrechid,Urbain,Collégial,Année 2,Masculin,13,Handicap,5–15 km,< 2000 MAD,1,1,0
AB402133,2015-2016,Oriental,ORI,Jerada,Urbain,Collégial,Année 3,Masculin,14,Difficultés économiques,> 15 km,< 2000 MAD,2,0,0
AB402134,2021-2022,Rabat-Salé-Kénitra,RAB,Sidi Slimane,Urbain,Qualifiant,Année 2,Masculin,16,Travail enfant,5–15 km,2000-4000 MAD,4,0,1
AB402135,2020-2021,Oriental,ORI,Nador,Rural,Primaire,Année 2,Féminin,12,Difficultés scolaires,> 15 km,2000-4000 MAD,8,0,0
AB402136,2021-2022,Laâyoune-Sakia El Hamra,LAA,Laâyoune,Urbain,Qualifiant,Année 1,Masculin,16,Autre,1–5 km,< 2000 MAD,6,1,1
AB402137,2017-2018,Béni Mellal-Khénifra,BMK,Fquih Ben Salah,Rural,Qualifiant,Année 3,Féminin,18,Handicap,1–5 km,< 2000 MAD,1,0,0
AB402138,2022-2023,Marrakech-Safi,MAR,Chichaoua,Rural,Qualifiant,Année 2,Masculin,18,Mariage précoce,< 1 km,< 2000 MAD,7,0,1
AB402139,2022-2023,Fès-Meknès,FES,Taounate,Rural,Collégial,Année 3,Masculin,13,Éloignement de l'établissement,1–5 km,4000-7000 MAD,6,1,0
AB402140,2020-2021,Rabat-Salé-Kénitra,RAB,Khémisset,Rural,Collégial,Année 3,Masculin,13,Mariage précoce,1–5 km,> 7000 MAD,5,1,0
AB402141,2017-2018,Drâa-Tafilalet,DRA,Ouarzazate,Rural,Qualifiant,Année 3,Féminin,18,Mariage précoce,1–5 km,< 2000 MAD,1,1,0
AB402142,2016-2017,Tanger-Tétouan-Al Hoceïma,TAN,Ouazzane,Urbain,Primaire,Année 1,Féminin,7,Mariage précoce,1–5 km,< 2000 MAD,2,0,0
AB402143,2021-2022,Casablanca-Settat,CAS,El Jadida,Rural,Primaire,Année 3,Féminin,10,Éloignement de l'établissement,< 1 km,2000-4000 MAD,4,0,1
AB402144,2017-2018,Casablanca-Settat,CAS,Benslimane,Rural,Primaire,Année 2,Masculin,7,Travail enfant,5–15 km,2000-4000 MAD,4,1,0
AB402145,2020-2021,Tanger-Tétouan-Al Hoceïma,TAN,Larache,Rural,Collégial,Année 1,Masculin,14,Difficultés économiques,1–5 km,< 2000 MAD,8,1,1
AB402146,2017-2018,Tanger-Tétouan-Al Hoceïma,TAN,Tanger-Assilah,Rural,Collégial,Année 3,Féminin,13,Difficultés scolaires,1–5 km,4000-7000 MAD,6,1,1
AB402147,2021-2022,Souss-Massa,SOU,Chtouka-Ait Baha,Rural,Qualifiant,Année 3,Féminin,17,Mariage précoce,1–5 km,< 2000 MAD,8,0,0
AB402148,2019-2020,Marrakech-Safi,MAR,Safi,Rural,Qualifiant,Année 1,Masculin,18,Difficultés économiques,< 1 km,< 2000 MAD,6,0,1
AB402149,2015-2016,Souss-Massa,SOU,Tata,Rural,Collégial,Année 2,Masculin,13,Difficultés économiques,> 15 km,4000-7000 MAD,8,0,0
AB402150,2015-2016,Rabat-Salé-Kénitra,RAB,Salé,Rural,Primaire,Année 4,Féminin,8,Travail enfant,5–15 km,< 2000 MAD,8,1,0
AB402151,2022-2023,Rabat-Salé-Kénitra,RAB,Sidi Slimane,Rural,Qualifiant,Année 3,Féminin,16,Éloignement de l'établissement,1–5 km,2000-4000 MAD,8,0,1
AB402152,2017-2018,Oriental,ORI,Driouch,Rural,Primaire,Année 4,Masculin,12,Travail enfant,5–15 km,4000-7000 MAD,4,0,0
AB402153,2023-2024,Rabat-Salé-Kénitra,RAB,Salé,Rural,Collégial,Année 3,Féminin,13,Difficultés scolaires,1–5 km,< 2000 MAD,2,0,0
AB402154,2023-2024,Rabat-Salé-Kénitra,RAB,Sidi Slimane,Urbain,Primaire,Année 6,Masculin,10,Difficultés économiques,1–5 km,4000-7000 MAD,5,1,0
AB402155,2022-2023,Oriental,ORI,Guercif,Urbain,Collégial,Année 3,Féminin,13,Éloignement de l'établissement,< 1 km,> 7000 MAD,1,1,1
AB402156,2023-2024,Casablanca-Settat,CAS,Khouribga,Urbain,Primaire,Année 4,Féminin,12,Difficultés économiques,5–15 km,< 2000 MAD,5,1,1
AB402157,2021-2022,Oriental,ORI,Taourirt,Rural,Primaire,Année 1,Féminin,9,Handicap,5–15 km,< 2000 MAD,5,1,0
AB402158,2022-2023,Laâyoune-Sakia El Hamra,LAA,Es-Semara,Urbain,Qualifiant,Année 3,Masculin,17,Difficultés scolaires,> 15 km,2000-4000 MAD,1,0,0
AB402159,2019-2020,Casablanca-Settat,CAS,El Jadida,Rural,Qualifiant,Année 2,Masculin,17,Difficultés scolaires,1–5 km,4000-7000 MAD,1,1,0
AB402160,2023-2024,Casablanca-Settat,CAS,Settat,Urbain,Primaire,Année 4,Féminin,8,Mariage précoce,< 1 km,< 2000 MAD,5,0,0
AB402161,2015-2016,Béni Mellal-Khénifra,BMK,El Kelaa des Sraghna,Urbain,Primaire,Année 3,Féminin,9,Travail enfant,1–5 km,2000-4000 MAD,4,1,1
AB402162,2018-2019,Rabat-Salé-Kénitra,RAB,Rabat,Urbain,Collégial,Année 3,Masculin,14,Difficultés économiques,< 1 km,> 7000 MAD,2,1,1
AB402163,2020-2021,Casablanca-Settat,CAS,Settat,Rural,Collégial,Année 3,Masculin,14,Autre,1–5 km,2000-4000 MAD,1,0,0
AB402164,2020-2021,Souss-Massa,SOU,Tiznit,Urbain,Collégial,Année 2,Féminin,13,Grossesse,1–5 km,< 2000 MAD,7,0,0
AB402165,2023-2024,Tanger-Tétouan-Al Hoceïma,TAN,Ouazzane,Urbain,Collégial,Année 1,Féminin,15,Éloignement de l'établissement,5–15 km,< 2000 MAD,4,1,0
AB402166,2018-2019,Tanger-Tétouan-Al Hoceïma,TAN,Ouazzane,Urbain,Primaire,Année 3,Féminin,8,Manque d'infrastructures,< 1 km,2000-4000 MAD,6,0,1
AB402167,2023-2024,Rabat-Salé-Kénitra,RAB,Sidi Slimane,Urbain,Primaire,Année 1,Féminin,10,Travail enfant,5–15 km,> 7000 MAD,7,0,0
AB402168,2017-2018,Rabat-Salé-Kénitra,RAB,Sidi Slimane,Rural,Primaire,Année 2,Masculin,9,Difficultés scolaires,< 1 km,< 2000 MAD,5,0,1
AB402169,2017-2018,Rabat-Salé-Kénitra,RAB,Sidi Kacem,Rural,Qualifiant,Année 3,Féminin,17,Mariage précoce,5–15 km,< 2000 MAD,8,1,0
AB402170,2021-2022,Casablanca-Settat,CAS,Settat,Urbain,Collégial,Année 2,Féminin,13,Difficultés scolaires,< 1 km,2000-4000 MAD,5,0,0
AB402171,2023-2024,Casablanca-Settat,CAS,Settat,Rural,Collégial,Année 3,Masculin,15,Difficultés scolaires,5–15 km,< 2000 MAD,6,0,1
AB402172,2022-2023,Tanger-Tétouan-Al Hoceïma,TAN,Tétouan,Rural,Qualifiant,Année 1,Féminin,18,Éloignement de l'établissement,< 1 km,< 2000 MAD,1,1,1
AB402173,2015-2016,Tanger-Tétouan-Al Hoceïma,TAN,Chefchaouen,Rural,Qualifiant,Année 3,Masculin,18,Mariage précoce,> 15 km,2000-4000 MAD,3,1,1
AB402174,2016-2017,Rabat-Salé-Kénitra,RAB,Rabat,Rural,Primaire,Année 1,Féminin,12,Difficultés économiques,1–5 km,> 7000 MAD,1,0,0
AB402175,2022-2023,Marrakech-Safi,MAR,Safi,Urbain,Qualifiant,Année 1,Masculin,18,Grossesse,5–15 km,4000-7000 MAD,8,1,0
AB402176,2017-2018,Marrakech-Safi,MAR,Safi,Rural,Qualifiant,Année 3,Masculin,16,Difficultés scolaires,< 1 km,< 2000 MAD,8,0,0
AB402177,2023-2024,Casablanca-Settat,CAS,Mohammadia,Urbain,Primaire,Année 6,Féminin,9,Éloignement de l'établissement,1–5 km,2000-4000 MAD,5,1,1
AB402178,2021-2022,Casablanca-Settat,CAS,Khouribga,Rural,Primaire,Année 1,Masculin,8,Difficultés économiques,> 15 km,4000-7000 MAD,3,1,1
AB402179,2023-2024,Casablanca-Settat,CAS,Benslimane,Rural,Qualifiant,Année 2,Féminin,18,Travail enfant,> 15 km,4000-7000 MAD,4,1,0
AB402180,2016-2017,Tanger-Tétouan-Al Hoceïma,TAN,Chefchaouen,Urbain,Primaire,Année 4,Féminin,10,Difficultés économiques,< 1 km,4000-7000 MAD,1,1,0
AB402181,2021-2022,Drâa-Tafilalet,DRA,Zagora,Urbain,Primaire,Année 4,Féminin,9,Difficultés scolaires,5–15 km,2000-4000 MAD,6,1,0
AB402182,2019-2020,Casablanca-Settat,CAS,Mohammadia,Rural,Qualifiant,Année 1,Masculin,16,Travail enfant,5–15 km,2000-4000 MAD,8,1,0
AB402183,2022-2023,Tanger-Tétouan-Al Hoceïma,TAN,Tanger-Assilah,Rural,Collégial,Année 1,Masculin,13,Difficultés économiques,1–5 km,2000-4000 MAD,1,0,0
AB402184,2020-2021,Tanger-Tétouan-Al Hoceïma,TAN,Al Hoceïma,Rural,Qualifiant,Année 1,Féminin,18,Mariage précoce,> 15 km,2000-4000 MAD,8,1,1
AB402185,2019-2020,Rabat-Salé-Kénitra,RAB,Kénitra,Urbain,Collégial,Année 3,Féminin,13,Mariage précoce,5–15 km,4000-7000 MAD,5,1,0
AB402186,2020-2021,Rabat-Salé-Kénitra,RAB,Rabat,Urbain,Qualifiant,Année 3,Féminin,16,Éloignement de l'établissement,< 1 km,2000-4000 MAD,3,0,1
AB402187,2018-2019,Fès-Meknès,FES,Taza,Rural,Collégial,Année 1,Féminin,13,Difficultés économiques,< 1 km,> 7000 MAD,5,0,0
AB402188,2017-2018,Marrakech-Safi,MAR,Chichaoua,Urbain,Qualifiant,Année 1,Masculin,18,Difficultés économiques,1–5 km,2000-4000 MAD,1,0,0
AB402189,2018-2019,Rabat-Salé-Kénitra,RAB,Skhirate-Témara,Urbain,Primaire,Année 4,Masculin,8,Difficultés économiques,< 1 km,4000-7000 MAD,7,1,0
AB402190,2018-2019,Fès-Meknès,FES,Taounate,Rural,Collégial,Année 2,Féminin,15,Manque d'infrastructures,5–15 km,2000-4000 MAD,6,0,0
AB402191,2023-2024,Oriental,ORI,Guercif,Urbain,Primaire,Année 1,Masculin,11,Manque d'infrastructures,< 1 km,2000-4000 MAD,4,1,0
AB402192,2020-2021,Casablanca-Settat,CAS,Casablanca,Rural,Collégial,Année 3,Féminin,15,Travail enfant,< 1 km,2000-4000 MAD,7,1,0
AB402193,2016-2017,Marrakech-Safi,MAR,Chichaoua,Rural,Collégial,Année 2,Masculin,14,Manque d'infrastructures,< 1 km,2000-4000 MAD,6,1,1
AB402194,2021-2022,Fès-Meknès,FES,Moulay Yacoub,Urbain,Primaire,Année 3,Masculin,7,Autre,> 15 km,2000-4000 MAD,6,1,0
AB402195,2017-2018,Casablanca-Settat,CAS,Settat,Rural,Qualifiant,Année 1,Féminin,18,Mariage précoce,> 15 km,< 2000 MAD,4,1,0
AB402196,2022-2023,Fès-Meknès,FES,Séfrou,Rural,Primaire,Année 2,Masculin,7,Difficultés économiques,< 1 km,< 2000 MAD,5,0,0
AB402197,2023-2024,Rabat-Salé-Kénitra,RAB,Skhirate-Témara,Urbain,Collégial,Année 3,Féminin,14,Éloignement de l'établissement,> 15 km,2000-4000 MAD,3,0,0
AB402198,2019-2020,Casablanca-Settat,CAS,Benslimane,Urbain,Collégial,Année 3,Féminin,15,Difficultés scolaires,< 1 km,> 7000 MAD,2,0,1
AB402199,2016-2017,Casablanca-Settat,CAS,Sidi Bennour,Rural,Primaire,Année 5,Féminin,7,Travail enfant,5–15 km,4000-7000 MAD,8,1,0
AB402200,2020-2021,Casablanca-Settat,CAS,Mohammadia,Rural,Qualifiant,Année 2,Masculin,17,Manque d'infrastructures,< 1 km,4000-7000 MAD,5,0,0
AB402201,2020-2021,Casablanca-Settat,CAS,Berrechid,Rural,Primaire,Année 5,Féminin,9,Travail enfant,1–5 km,2000-4000 MAD,1,1,0
AB402202,2023-2024,Casablanca-Settat,CAS,Benslimane,Rural,Collégial,Année 2,Féminin,14,Difficultés scolaires,1–5 km,4000-7000 MAD,8,0,0
AB402203,2017-2018,Tanger-Tétouan-Al Hoceïma,TAN,Fahs-Anjra,Rural,Primaire,Année 6,Féminin,12,Éloignement de l'établissement,1–5 km,< 2000 MAD,2,1,0
AB402204,2018-2019,Casablanca-Settat,CAS,El Jadida,Rural,Collégial,Année 2,Masculin,13,Travail enfant,5–15 km,2000-4000 MAD,6,0,1
AB402205,2019-2020,Souss-Massa,SOU,Tiznit,Urbain,Collégial,Année 2,Masculin,15,Travail enfant,1–5 km,< 2000 MAD,4,1,0
AB402206,2018-2019,Laâyoune-Sakia El Hamra,LAA,Es-Semara,Urbain,Primaire,Année 2,Féminin,10,Difficultés scolaires,< 1 km,2000-4000 MAD,6,1,0
AB402207,2018-2019,Tanger-Tétouan-Al Hoceïma,TAN,Tétouan,Urbain,Qualifiant,Année 1,Masculin,18,Mariage précoce,1–5 km,< 2000 MAD,2,0,0
AB402208,2022-2023,Souss-Massa,SOU,Tata,Rural,Collégial,Année 2,Masculin,14,Travail enfant,5–15 km,2000-4000 MAD,7,1,0
AB402209,2023-2024,Rabat-Salé-Kénitra,RAB,Rabat,Rural,Primaire,Année 3,Masculin,10,Difficultés économiques,1–5 km,< 2000 MAD,1,0,0
AB402210,2017-2018,Fès-Meknès,FES,Boulemane,Rural,Collégial,Année 3,Masculin,15,Éloignement de l'établissement,1–5 km,4000-7000 MAD,6,1,0
AB402211,2021-2022,Casablanca-Settat,CAS,Khouribga,Rural,Collégial,Année 3,Masculin,15,Éloignement de l'établissement,1–5 km,2000-4000 MAD,3,1,0
AB402212,2016-2017,Casablanca-Settat,CAS,El Jadida,Rural,Primaire,Année 4,Féminin,12,Éloignement de l'établissement,> 15 km,< 2000 MAD,3,0,1
AB402213,2015-2016,Drâa-Tafilalet,DRA,Zagora,Rural,Qualifiant,Année 2,Masculin,17,Difficultés économiques,1–5 km,< 2000 MAD,4,1,0
AB402214,2015-2016,Tanger-Tétouan-Al Hoceïma,TAN,Al Hoceïma,Rural,Primaire,Année 2,Masculin,8,Difficultés scolaires,< 1 km,2000-4000 MAD,7,1,0
AB402215,2022-2023,Béni Mellal-Khénifra,BMK,Azilal,Urbain,Primaire,Année 5,Masculin,8,Difficultés économiques,1–5 km,> 7000 MAD,6,0,1
AB402216,2022-2023,Souss-Massa,SOU,Taroudannt,Urbain,Qualifiant,Année 1,Masculin,17,Difficultés économiques,1–5 km,2000-4000 MAD,4,1,0
AB402217,2018-2019,Rabat-Salé-Kénitra,RAB,Salé,Rural,Primaire,Année 2,Féminin,11,Difficultés scolaires,5–15 km,< 2000 MAD,6,0,0
AB402218,2022-2023,Marrakech-Safi,MAR,Safi,Rural,Qualifiant,Année 2,Féminin,17,Mariage précoce,< 1 km,2000-4000 MAD,6,1,1
AB402219,2021-2022,Fès-Meknès,FES,Meknès,Urbain,Qualifiant,Année 2,Féminin,18,Travail enfant,1–5 km,4000-7000 MAD,8,0,0
AB402220,2021-2022,Casablanca-Settat,CAS,Khouribga,Rural,Primaire,Année 4,Féminin,10,Travail enfant,< 1 km,2000-4000 MAD,1,0,1
AB402221,2019-2020,Béni Mellal-Khénifra,BMK,Fquih Ben Salah,Rural,Qualifiant,Année 2,Féminin,18,Difficultés économiques,< 1 km,> 7000 MAD,4,1,0
AB402222,2017-2018,Rabat-Salé-Kénitra,RAB,Sidi Kacem,Urbain,Primaire,Année 1,Féminin,11,Difficultés scolaires,< 1 km,4000-7000 MAD,4,1,0
AB402223,2019-2020,Rabat-Salé-Kénitra,RAB,Khémisset,Rural,Primaire,Année 6,Féminin,9,Travail enfant,1–5 km,4000-7000 MAD,3,1,0
AB402224,2019-2020,Tanger-Tétouan-Al Hoceïma,TAN,Mdiq-Fnideq,Rural,Qualifiant,Année 1,Masculin,16,Difficultés économiques,1–5 km,< 2000 MAD,5,0,0
AB402225,2019-2020,Marrakech-Safi,MAR,Safi,Urbain,Primaire,Année 2,Féminin,9,Éloignement de l'établissement,1–5 km,2000-4000 MAD,3,0,1
AB402226,2015-2016,Casablanca-Settat,CAS,Sidi Bennour,Urbain,Collégial,Année 3,Masculin,13,Grossesse,1–5 km,2000-4000 MAD,1,0,0
AB402227,2023-2024,Casablanca-Settat,CAS,Berrechid,Rural,Collégial,Année 3,Masculin,13,Manque d'infrastructures,5–15 km,4000-7000 MAD,3,0,0
AB402228,2023-2024,Casablanca-Settat,CAS,Settat,Rural,Qualifiant,Année 2,Féminin,18,Difficultés économiques,< 1 km,2000-4000 MAD,3,1,0
AB402229,2018-2019,Fès-Meknès,FES,Taza,Urbain,Primaire,Année 2,Masculin,7,Manque d'infrastructures,< 1 km,> 7000 MAD,5,1,0
AB402230,2019-2020,Rabat-Salé-Kénitra,RAB,Salé,Urbain,Collégial,Année 1,Masculin,13,Difficultés scolaires,1–5 km,> 7000 MAD,3,0,0
AB402231,2023-2024,Marrakech-Safi,MAR,Al Haouz,Rural,Collégial,Année 2,Féminin,13,Mariage précoce,1–5 km,4000-7000 MAD,1,1,0
